opus,key,performer,year,time,seconds,label,pid,status,piece_path,performer_label
17.3,A maj,Magaloff,1977,3:24,204,Philips 456 898-2,5667267b-09,-,mazurka17-3/pid5667267b-09,30
17.3,A maj,Magaloff,1977,3:34,214,Phillips 426 817/29-2,9074f-12,-,mazurka17-3/pid9074f-12,30
17.3,A maj,Magin,1975,3:46,226,Accord 465 665-2,9138-12,-,mazurka17-3/pid9138-12,31
17.3,A maj,Meguri,1997,5:02,302,Live Notes WWCC-7313,9137-08,-,mazurka17-3/pid9137-08,33
17.3,A maj,Milkina,1970,3:48,228,Unterschrift/EMI,9099-12,-,mazurka17-3/pid9099-12,35
17.3,A maj,Mohovich,1999,5:26,326,Agora AG 231.2,9104-12,-,mazurka17-3/pid9104-12,36
17.3,A maj,Ohlsson,1999,4:20,260,Arabesque Z6730-2,9153-12,-,mazurka17-3/pid9153-12,38
17.3,A maj,Olejniczac,1990,4:46,286,Na&iuml;ve OP20002,9100b-16,-,mazurka17-3/pid9100b-16,39
17.3,A maj,Osinska,1989,4:59,299,Cassiopee 969 213/6,9101-12,-,mazurka17-3/pid9101-12,40
17.3,A maj,Poblocka,1999,4:06,246,BeArTon CDB012/13,9093-12,-,mazurka17-3/pid9093-12,42
17.3,A maj,Rangell,2001,4:04,244,Dorian DOR-93258,9094-12,-,mazurka17-3/pid9094-12,43
17.3,A maj,Rubinstein,1939,4:09,249,Naxos 8.110656-57,9049-12,-,mazurka17-3/pid9049-12,46
17.3,A maj,Rubinstein,1952,4:17,257,BMG 09026 63027-2,9075-12,-,mazurka17-3/pid9075-12,46
17.3,A maj,Rubinstein,1966,4:20,260,BMG 09026-63050-2,9059-12,-,mazurka17-3/pid9059-12,46
17.3,A maj,Shebanova,2002,4:45,285,DUX 0350/0351,9072-12,-,mazurka17-3/pid9072-12,47
17.3,A maj,Smith,1975,1:55,115,EMI 724358576726,9054-12,-,mazurka17-3/pid9054-12,48
17.3,A maj,Sztompka,1959,4:17,257,Muza PNOD 313 A/B,9170-12,-,mazurka17-3/pid9170-12,50
17.3,A maj,Uninsky,1971,2:59,179,Philips 442 574-2,9061-12,-,mazurka17-3/pid9061-12,51
17.3,A maj,Vardi,1988,5:08,308,Carriere Classics 21.0017,9173-17,-,mazurka17-3/pid9173-17,52
17.3,A maj,Wasowski,1980,4:09,249,Concord CCD-42036,9111-12,-,mazurka17-3/pid9111-12,53
17.4,A min,Ashkenazy,1981,4:13,253,Decca 448 086-2,9058-13,precor,mazurka17-4/pid9058-13,0
17.4,A min,Bacha,1998,4:09,249,Forlane 126817,9166d-20,-,mazurka17-4/pid9166d-20,1
17.4,A min,Barbosa,1983,4:02,242,Centaur CRC2098/9,9174-13,-,mazurka17-4/pid9174-13,2
17.4,A min,Biret,1990,4:33,273,Naxos 8.550359,9062-13,precor,mazurka17-4/pid9062-13,3
17.4,A min,Blet,2003,4:10,250,Marcal MA030501,9103-07,precor,mazurka17-4/pid9103-07,4
17.4,A min,Block,1995,5:18,318,ProPiano PPR224507 ,9064-04,precor,mazurka17-4/pid9064-04,5
17.4,A min,Brailowsky,1960,4:07,247,Sony SB2K 63237,9060-13,precor,mazurka17-4/pid9060-13,6
17.4,A min,Chiu,1999,4:36,276,HMX 2907352.53,9048-13,precor,mazurka17-4/pid9048-13,7
17.4,A min,Clidat,1994,3:55,235,Forlane UCD16729 ,9067-13,precor,mazurka17-4/pid9067-13,8
17.4,A min,Cohen,1997,3:14,194,Glossa 920506 ,9105-13,precor,mazurka17-4/pid9105-13,9
17.4,A min,Cortot,1951,5:01,301,Concert Artist 9180/12 ,9066-13,precor,mazurka17-4/pid9066-13,10
17.4,A min,Csalog,1996,4:47,287,Hungaroton HCD 31755/6,1263-13,-,mazurka17-4/pid1263-13,11
17.4,A min,Czerny-Stefanska,1949,3:49,229,Muza PNCD006,9085-15,precor,mazurka17-4/pid9085-15,12
17.4,A min,Czerny-Stefanska,1949,3:59,239,Muza PNCD002,9086-07,precor,mazurka17-4/pid9086-07,12
17.4,A min,Czerny-Stefanska,1989,3:51,231,Pony Canyon Classics PCCL-00460,9192-13,-,mazurka17-4/pid9192-13,12
17.4,A min,Ezaki,2006,4:29,269,Triton OVCT-00035,9139-13,precor,mazurka17-4/pid9139-13,13
17.4,A min,Falvay,1989,4:03,243,Naxos 8.550256 ,9068-08,precor,mazurka17-4/pid9068-08,14
17.4,A min,Ferenczy,1958,5:07,307,Hungaroton HCD 32121,9097-17,precor,mazurka17-4/pid9097-17,15
17.4,A min,Fiorentino,1990,4:27,267,Con. Artist 9200-2 ,9065-08,precor,mazurka17-4/pid9065-08,16
17.4,A min,Fliere,1977,4:34,274,Melodia 10 00439,9063-13,precor,mazurka17-4/pid9063-13,17
17.4,A min,Fou,1978,4:02,242,Sony SB2K 53 246,9071-20,precor,mazurka17-4/pid9071-20,18
17.4,A min,Francois,1956,4:08,248,EMI CZS 7 67413 2,9070-21,precor,mazurka17-4/pid9070-21,19
17.4,A min,Hatto,1993,4:46,286,Con. Artist FED4-TC-0116/7,610003-15,-,mazurka17-4/pid610003-15,22
17.4,A min,Hatto,2006,4:47,287,Con. Artist 9270/12,9073-15,precor,mazurka17-4/pid9073-15,22
17.4,A min,Horowitz,1971,4:03,243,S3K 93039 Legacy ,59340c-06,precor,mazurka17-4/pid59340c-06,23
17.4,A min,Horowitz,1985,4:00,240,DG 419 045-2,50534-05,precor,mazurka17-4/pid50534-05,23
17.4,A min,Indjic,1988,4:48,288,Calliope 3321,9050-13,precor,mazurka17-4/pid9050-13,24
17.4,A min,Kapell,1951,4:20,260,RCA 09026-68990-2,9090-06,precor,mazurka17-4/pid9090-06,25
17.4,A min,Kushner,1990,4:33,273,Connoisseur CD4181/2,9118-13,precor,mazurka17-4/pid9118-13,26
17.4,A min,Lilamand,2001,5:07,307,Concerto Royale 206220-3600,9186c-13,-,mazurka17-4/pid9186c-13,27
17.4,A min,Luisada,1990,4:00,240,DG 463054-2,9055-13,precor,mazurka17-4/pid9055-13,28
17.4,A min,Lushtak,2004,4:50,290,Centaur CRC 2707,9088-08,precor,mazurka17-4/pid9088-08,29
17.4,A min,Magaloff,1977,4:05,245,Philips 456 898-2,5667267b-10,precor,mazurka17-4/pid5667267b-10,30
17.4,A min,Magaloff,1977,4:48,288,Phillips 426 817/29-2,9074f-13,precor,mazurka17-4/pid9074f-13,30
17.4,A min,Magin,1975,4:11,251,Accord 465 665-2,9138-13,precor,mazurka17-4/pid9138-13,31
17.4,A min,Milkina,1970,4:20,260,Unterschrift/EMI,9099-13,precor,mazurka17-4/pid9099-13,35
17.4,A min,Mohovich,1999,4:57,297,Agora AG 231.2,9104-13,precor,mazurka17-4/pid9104-13,36
17.4,A min,Ohlsson,1999,4:15,255,Arabesque Z6730-2,9153-13,precor,mazurka17-4/pid9153-13,38
17.4,A min,Olejniczac,1990,4:31,271,Na&iuml;ve OP20002,9100b-17,precor,mazurka17-4/pid9100b-17,39
17.4,A min,Osinska,1989,4:24,264,Cassiopee 969 213/6,9101-13,precor,mazurka17-4/pid9101-13,40
17.4,A min,Perlemuter,1986,4:08,248,Nimbus NI5393,9089-15,precor,mazurka17-4/pid9089-15,41
17.4,A min,Poblocka,1999,3:46,226,BeArTon CDB012/13,9093-13,precor,mazurka17-4/pid9093-13,42
17.4,A min,Rangell,2001,4:53,293,Dorian DOR-93258,9094-13,precor,mazurka17-4/pid9094-13,43
17.4,A min,Rosen,1989,4:20,260,Globe 5028 ,52932-06,precor,mazurka17-4/pid52932-06,44
17.4,A min,Rubinstein,1939,4:16,256,Naxos 8.110656-57,9049-13,precor,mazurka17-4/pid9049-13,46
17.4,A min,Rubinstein,1952,4:01,241,BMG 09026 63027-2,9075-13,precor,mazurka17-4/pid9075-13,46
17.4,A min,Rubinstein,1966,4:31,271,BMG 09026-63050-2,9059-13,precor,mazurka17-4/pid9059-13,46
17.4,A min,Shebanova,2002,4:31,271,DUX 0350/0351,9072-13,precor,mazurka17-4/pid9072-13,47
17.4,A min,Smith,1975,2:15,135,EMI 724358576726,9054-13,precor,mazurka17-4/pid9054-13,48
17.4,A min,Sztompka,1959,4:06,246,Muza PNOD 313 A/B,9170-13,-,mazurka17-4/pid9170-13,50
17.4,A min,Uninsky,1971,4:06,246,Philips 442 574-2,9061-13,precor,mazurka17-4/pid9061-13,51
17.4,A min,Vardi,1988,4:45,285,Carriere Classics 21.0017,9173-18,-,mazurka17-4/pid9173-18,52
17.4,A min,Wasowski,1980,5:28,328,Concord CCD-42036,9111-13,precor,mazurka17-4/pid9111-13,53
24.1,G min,Ashkenazy,1981,2:48,168,Decca 448 086-2,9058-14,-,mazurka24-1/pid9058-14,0
24.1,G min,Bacha,1998,2:49,169,Forlane 126817,9166e-07,-,mazurka24-1/pid9166e-07,1
24.1,G min,Barbosa,1983,3:15,195,Centaur CRC2098/9,9174-14,-,mazurka24-1/pid9174-14,2
24.1,G min,Biret,1990,3:06,186,Naxos 8.550359,9062-14,-,mazurka24-1/pid9062-14,3
24.1,G min,Blet,2003,3:08,188,Marcal MA030501,9103-08,-,mazurka24-1/pid9103-08,4
24.1,G min,Block,1995,2:39,159,ProPiano PPR224507 ,9064-09,-,mazurka24-1/pid9064-09,5
24.1,G min,Brailowsky,1960,2:04,124,Sony SB2K 63237,9060-14,-,mazurka24-1/pid9060-14,6
24.1,G min,Chiu,1999,2:49,169,HMX 2907352.53,9048-14,-,mazurka24-1/pid9048-14,7
24.1,G min,Clidat,1994,2:30,150,Forlane UCD16729 ,9067-14,-,mazurka24-1/pid9067-14,8
24.1,G min,Cohen,1997,3:08,188,Glossa 920506 ,9105-14,-,mazurka24-1/pid9105-14,9
24.1,G min,Cortot,1951,2:50,170,Concert Artist 9180/12 ,9066-14,-,mazurka24-1/pid9066-14,10
24.1,G min,Cortot,1957,1:23,83,Sony Classical S3K89698,9107c-07,-,mazurka24-1/pid9107c-07,10
24.1,G min,Csalog,1996,2:55,175,Hungaroton HCD 31755/6,1263-14,-,mazurka24-1/pid1263-14,11
24.1,G min,Czerny-Stefanska,1989,2:28,148,Pony Canyon Classics PCCL-00460,9192-14,-,mazurka24-1/pid9192-14,12
24.1,G min,Ezaki,2006,2:57,177,Triton OVCT-00035,9139-14,-,mazurka24-1/pid9139-14,13
24.1,G min,Falvay,1989,2:44,164,Naxos 8.550256 ,9068-09,-,mazurka24-1/pid9068-09,14
24.1,G min,Ferenczy,1958,3:15,195,Hungaroton HCD 32121,9097-16,-,mazurka24-1/pid9097-16,15
24.1,G min,Fiorentino,1961,3:06,186,Con. Artist 9200-2 ,9065-09,-,mazurka24-1/pid9065-09,16
24.1,G min,Fliere,1977,3:01,181,Melodia 10 00439,9063-14,-,mazurka24-1/pid9063-14,17
24.1,G min,Fou,1978,3:04,184,Sony SB2K 53 246,9071-25,-,mazurka24-1/pid9071-25,18
24.1,G min,Fou,2005,2:59,179,NIFC CD001,9092-10,-,mazurka24-1/pid9092-10,18
24.1,G min,Francois,1956,1:41,101,EMI CZS 7 67413 2,9070-22,-,mazurka24-1/pid9070-22,19
24.1,G min,Gornostaeva,1994,1:54,114,Vista Vera VVCD-00064,9116-17,-,mazurka24-1/pid9116-17,21
24.1,G min,Hatto,1993,3:09,189,Con. Artist FED4-TC-0116/7,610003-16,-,mazurka24-1/pid610003-16,22
24.1,G min,Hatto,2006,3:12,192,Con. Artist 9270/12,9073-16,-,mazurka24-1/pid9073-16,22
24.1,G min,Indjic,1988,3:12,192,Calliope 3321,9050-14,-,mazurka24-1/pid9050-14,24
24.1,G min,Kapell,1951,2:37,157,RCA 09026-68990-2,9090-07,-,mazurka24-1/pid9090-07,25
24.1,G min,Kushner,1990,2:53,173,Connoisseur CD4181/2,9118-14,-,mazurka24-1/pid9118-14,26
24.1,G min,Lilamand,2001,3:44,224,Concerto Royale 206220-3600,9186c-14,-,mazurka24-1/pid9186c-14,27
24.1,G min,Luisada,1990,2:52,172,DG 463054-2,9055-14,-,mazurka24-1/pid9055-14,28
24.1,G min,Lushtak,2004,3:11,191,Centaur CRC 2707,9088-09,-,mazurka24-1/pid9088-09,29
24.1,G min,Magaloff,1977,3:12,192,Phillips 426 817/29-2,9074f-14,-,mazurka24-1/pid9074f-14,30
24.1,G min,Magin,1975,2:20,140,Accord 465 665-2,9138-14,-,mazurka24-1/pid9138-14,31
24.1,G min,Milkina,1970,2:50,170,Unterschrift/EMI,9099-14,-,mazurka24-1/pid9099-14,35
24.1,G min,Mohovich,1999,2:58,178,Agora AG 231.2,9104-14,-,mazurka24-1/pid9104-14,36
24.1,G min,Ohlsson,1999,2:50,170,Arabesque Z6730-2,9153-14,-,mazurka24-1/pid9153-14,38
24.1,G min,Olejniczac,1990,3:01,181,Na&iuml;ve OP20002,9100b-10,-,mazurka24-1/pid9100b-10,39
24.1,G min,Osinska,1989,2:53,173,Cassiopee 969 213/6,9101-14,-,mazurka24-1/pid9101-14,40
24.1,G min,Poblocka,1999,2:47,167,BeArTon CDB012/13,9093-14,-,mazurka24-1/pid9093-14,42
24.1,G min,Rangell,2001,2:52,172,Dorian DOR-93258,9094-14,-,mazurka24-1/pid9094-14,43
24.1,G min,Rosen,1989,3:08,188,Globe 5028 ,52932-07,-,mazurka24-1/pid52932-07,44
24.1,G min,Rubinstein,1939,2:03,123,Naxos 8.110656-57,9049-14,-,mazurka24-1/pid9049-14,46
24.1,G min,Rubinstein,1952,3:32,212,BMG 09026 63027-2,9075-14,-,mazurka24-1/pid9075-14,46
24.1,G min,Rubinstein,1966,2:48,168,BMG 09026-63050-2,9059-14,-,mazurka24-1/pid9059-14,46
24.1,G min,Shebanova,2002,2:57,177,DUX 0350/0351,9072-14,-,mazurka24-1/pid9072-14,47
24.1,G min,Smith,1975,3:45,225,EMI 724358576726,9054-14,-,mazurka24-1/pid9054-14,48
24.1,G min,Sztompka,1959,2:55,175,Muza PNOD 313 A/B,9170-14,-,mazurka24-1/pid9170-14,50
24.1,G min,Uninsky,1959,1:50,110,Philips 442 574-2,9061-14,-,mazurka24-1/pid9061-14,51
24.1,G min,Vardi,1988,2:52,172,Carriere Classics 21.0017,9173-19,-,mazurka24-1/pid9173-19,52
24.1,G min,Wasowski,1980,2:25,145,Concord CCD-42036,9111-14,-,mazurka24-1/pid9111-14,53
24.2,C maj,Ashkenazy,1981,2:03,123,Decca 448 086-2,9058-15,precor,mazurka24-2/pid9058-15,0
24.2,C maj,Bacha,1998,2:01,121,Forlane 126817,9166e-08,-,mazurka24-2/pid9166e-08,1
24.2,C maj,Barbosa,1983,2:11,131,Centaur CRC2098/9,9174-15,-,mazurka24-2/pid9174-15,2
24.2,C maj,Biret,1990,2:13,133,Naxos 8.550359,9062-15,precor,mazurka24-2/pid9062-15,3
24.2,C maj,Brailowsky,1960,2:40,160,Sony SB2K 63237,9060-15,precor,mazurka24-2/pid9060-15,6
24.2,C maj,Chiu,1999,2:21,141,HMX 2907352.53,9048-15,precor,mazurka24-2/pid9048-15,7
24.2,C maj,Clidat,1994,2:12,132,Forlane UCD16729 ,9067-15,precor,mazurka24-2/pid9067-15,8
24.2,C maj,Cohen,1997,1:51,111,Glossa 920506 ,9105-15,-,mazurka24-2/pid9105-15,9
24.2,C maj,Cortot,1951,2:15,135,Concert Artist 9180/12 ,9066-15,precor,mazurka24-2/pid9066-15,10
24.2,C maj,Cortot,1957,1:20,80,Sony Classical S3K89698,9107c-08,-,mazurka24-2/pid9107c-08,10
24.2,C maj,Csalog,1996,1:57,117,Hungaroton HCD 31755/6,1263-15,-,mazurka24-2/pid1263-15,11
24.2,C maj,Czerny-Stefanska,1989,2:24,144,Pony Canyon Classics PCCL-00460,9192-15,-,mazurka24-2/pid9192-15,12
24.2,C maj,Ezaki,2006,2:02,122,Triton OVCT-00035,9139-15,-,mazurka24-2/pid9139-15,13
24.2,C maj,Falvay,1989,2:09,129,Naxos 8.550256 ,9068-10,precor,mazurka24-2/pid9068-10,14
24.2,C maj,Fiorentino,1961,2:18,138,Con. Artist 9200-2 ,9065-10,precor,mazurka24-2/pid9065-10,16
24.2,C maj,Fliere,1977,2:10,130,Melodia 10 00439,9063-15,precor,mazurka24-2/pid9063-15,17
24.2,C maj,Fou,1978,2:03,123,Sony SB2K 53 246,9071-26,precor,mazurka24-2/pid9071-26,18
24.2,C maj,Francois,1956,1:49,109,EMI CZS 7 67413 2,9070-23,precor,mazurka24-2/pid9070-23,19
24.2,C maj,Gornostaeva,1994,2:04,124,Vista Vera VVCD-00064,9116-06,-,mazurka24-2/pid9116-06,21
24.2,C maj,Hatto,1993,2:39,159,Con. Artist FED4-TC-0116/7,610003-17,-,mazurka24-2/pid610003-17,22
24.2,C maj,Hatto,2006,2:33,153,Con. Artist 9270/12,9073-17,precor,mazurka24-2/pid9073-17,22
24.2,C maj,Indjic,1988,2:37,157,Calliope 3321,9050-15,precor,mazurka24-2/pid9050-15,24
24.2,C maj,Kushner,1990,2:09,129,Connoisseur CD4181/2,9118-15,-,mazurka24-2/pid9118-15,26
24.2,C maj,Lilamand,2001,2:23,143,Concerto Royale 206220-3600,9186c-15,-,mazurka24-2/pid9186c-15,27
24.2,C maj,Luisada,1990,2:20,140,DG 463054-2,9055-15,precor,mazurka24-2/pid9055-15,28
24.2,C maj,Lushtak,2004,2:14,134,Centaur CRC 2707,9088-10,precor,mazurka24-2/pid9088-10,29
24.2,C maj,Malcuzynski,1951,2:43,163,Muza PNCD 300,9091-22,precor,mazurka24-2/pid9091-22,32
24.2,C maj,Malcuzynski,1961,2:33,153,EMI CZS 5 68226 2,918904-03,-,mazurka24-2/pid918904-03,32
24.2,C maj,Magaloff,1977,2:37,157,Phillips 426 817/29-2,9074f-15,precor,mazurka24-2/pid9074f-15,30
24.2,C maj,Magin,1975,2:17,137,Accord 465 665-2,9138-15,-,mazurka24-2/pid9138-15,31
24.2,C maj,Meguri,1997,1:49,109,Live Notes WWCC-7313,9137-09,-,mazurka24-2/pid9137-09,33
24.2,C maj,Milkina,1970,2:19,139,Unterschrift/EMI,9099-15,-,mazurka24-2/pid9099-15,35
24.2,C maj,Mohovich,1999,2:08,128,Agora AG 231.2,9104-15,-,mazurka24-2/pid9104-15,36
24.2,C maj,Ohlsson,1999,2:03,123,Arabesque Z6730-2,9153-15,-,mazurka24-2/pid9153-15,38
24.2,C maj,Olejniczac,1990,2:31,151,Na&iuml;ve OP20002,9100b-11,-,mazurka24-2/pid9100b-11,39
24.2,C maj,Osinska,1989,2:13,133,Cassiopee 969 213/6,9101-15,-,mazurka24-2/pid9101-15,40
24.2,C maj,Perlemuter,1992,3:00,180,Nimbus NI5393,9089-08,precor,mazurka24-2/pid9089-08,41
24.2,C maj,Poblocka,1999,2:19,139,BeArTon CDB012/13,9093-15,precor,mazurka24-2/pid9093-15,42
24.2,C maj,Rangell,2001,2:10,130,Dorian DOR-93258,9094-15,precor,mazurka24-2/pid9094-15,43
24.2,C maj,Rosen,1989,2:00,120,Globe 5028 ,52932-08,precor,mazurka24-2/pid52932-08,44
24.2,C maj,Rubinstein,1939,2:14,134,Naxos 8.110656-57,9049-15,precor,mazurka24-2/pid9049-15,46
24.2,C maj,Rubinstein,1952,2:00,120,BMG 09026 63027-2,9075-15,precor,mazurka24-2/pid9075-15,46
24.2,C maj,Rubinstein,1966,2:14,134,BMG 09026-63050-2,9059-15,precor,mazurka24-2/pid9059-15,46
24.2,C maj,Shebanova,2002,2:05,125,DUX 0350/0351,9072-15,precor,mazurka24-2/pid9072-15,47
24.2,C maj,Smith,1975,1:03,63,EMI 724358576726,9054-15,precor,mazurka24-2/pid9054-15,48
24.2,C maj,Sztompka,1959,2:18,138,Muza PNOD 313 A/B,9170-15,-,mazurka24-2/pid9170-15,50
24.2,C maj,Uninsky,1959,2:09,129,Philips 442 574-2,9061-15,precor,mazurka24-2/pid9061-15,51
24.2,C maj,Vardi,1988,2:19,139,Carriere Classics 21.0017,9173-20,-,mazurka24-2/pid9173-20,52
24.2,C maj,Wasowski,1980,2:45,165,Concord CCD-42036,9111-15,-,mazurka24-2/pid9111-15,53
24.3,A maj,Ashkenazy,1981,1:55,115,Decca 448 086-2,9058-16,-,mazurka24-3/pid9058-16,0
24.3,A maj,Bacha,1998,2:11,131,Forlane 126817,9166e-09,-,mazurka24-3/pid9166e-09,1
24.3,A maj,Barbosa,1983,2:04,124,Centaur CRC2098/9,9174-16,-,mazurka24-3/pid9174-16,2
24.3,A maj,Biret,1990,2:34,154,Naxos 8.550359,9062-16,-,mazurka24-3/pid9062-16,3
24.3,A maj,Brailowsky,1960,1:37,97,Sony SB2K 63237,9060-16,-,mazurka24-3/pid9060-16,6
24.3,A maj,Chiu,1999,2:10,130,HMX 2907352.53,9048-16,-,mazurka24-3/pid9048-16,7
24.3,A maj,Clidat,1994,1:38,98,Forlane UCD16729 ,9067-16,-,mazurka24-3/pid9067-16,8
24.3,A maj,Cohen,1997,2:42,162,Glossa 920506 ,9105-16,-,mazurka24-3/pid9105-16,9
24.3,A maj,Cortot,1951,2:14,134,Concert Artist 9180/12 ,9066-16,-,mazurka24-3/pid9066-16,10
24.3,A maj,Csalog,1996,2:06,126,Hungaroton HCD 31755/6,1263-16,-,mazurka24-3/pid1263-16,11
24.3,A maj,Czerny-Stefanska,1989,2:12,132,Pony Canyon Classics PCCL-00460,9192-16,-,mazurka24-3/pid9192-16,12
24.3,A maj,Ezaki,2006,1:56,116,Triton OVCT-00035,9139-16,-,mazurka24-3/pid9139-16,13
24.3,A maj,Ferenczy,1957,2:30,150,Hungaroton HCD 32121,9097-07,-,mazurka24-3/pid9097-07,15
24.3,A maj,Fiorentino,1961,2:35,155,Con. Artist 9200-2 ,9065-11,-,mazurka24-3/pid9065-11,16
24.3,A maj,Fliere,1977,2:18,138,Melodia 10 00439,9063-16,-,mazurka24-3/pid9063-16,17
24.3,A maj,Fou,1978,2:03,123,Sony SB2K 53 246,9071-27,-,mazurka24-3/pid9071-27,18
24.3,A maj,Fou,2005,2:06,126,NIFC CD001,9092-03,-,mazurka24-3/pid9092-03,18
24.3,A maj,Francois,1956,1:03,63,EMI CZS 7 67413 2,9070-24,-,mazurka24-3/pid9070-24,19
24.3,A maj,Hatto,1993,1:44,104,Con. Artist FED4-TC-0116/7,610003-18,-,mazurka24-3/pid610003-18,22
24.3,A maj,Hatto,2006,1:43,103,Con. Artist 9270/12,9073-18,-,mazurka24-3/pid9073-18,22
24.3,A maj,Indjic,1988,1:46,106,Calliope 3321,9050-16,-,mazurka24-3/pid9050-16,24
24.3,A maj,Kapell,1951,1:28,88,RCA 09026-68990-2,9090-08,-,mazurka24-3/pid9090-08,25
24.3,A maj,Kushner,1990,2:15,135,Connoisseur CD4181/2,9118-16,-,mazurka24-3/pid9118-16,26
24.3,A maj,Lilamand,2001,2:08,128,Concerto Royale 206220-3600,9186c-16,-,mazurka24-3/pid9186c-16,27
24.3,A maj,Luisada,1990,2:05,125,DG 463054-2,9055-16,-,mazurka24-3/pid9055-16,28
24.3,A maj,Lushtak,2004,1:47,107,Centaur CRC 2707,9088-11,-,mazurka24-3/pid9088-11,29
24.3,A maj,Magaloff,1977,1:46,106,Phillips 426 817/29-2,9074f-16,-,mazurka24-3/pid9074f-16,30
24.3,A maj,Magin,1975,1:55,115,Accord 465 665-2,9138-16,-,mazurka24-3/pid9138-16,31
24.3,A maj,Milkina,1970,2:17,137,Unterschrift/EMI,9099-16,-,mazurka24-3/pid9099-16,35
24.3,A maj,Mohovich,1999,2:22,142,Agora AG 231.2,9104-16,-,mazurka24-3/pid9104-16,36
24.3,A maj,Ohlsson,1999,2:11,131,Arabesque Z6730-2,9153-16,-,mazurka24-3/pid9153-16,38
24.3,A maj,Olejniczac,1990,2:09,129,Na&iuml;ve OP20002,9100b-12,-,mazurka24-3/pid9100b-12,39
24.3,A maj,Osinska,1989,2:15,135,Cassiopee 969 213/6,9101-16,-,mazurka24-3/pid9101-16,40
24.3,A maj,Poblocka,1999,1:51,111,BeArTon CDB012/13,9093-16,-,mazurka24-3/pid9093-16,42
24.3,A maj,Rangell,2001,2:24,144,Dorian DOR-93258,9094-16,-,mazurka24-3/pid9094-16,43
24.3,A maj,Rosen,1989,2:29,149,Globe 5028 ,52932-09,-,mazurka24-3/pid52932-09,44
24.3,A maj,Rosenthal,1937,1:30,90,Membran 222913-321,9057j-01,-,mazurka24-3/pid9057j-01,45
24.3,A maj,Rosenthal,1937,1:30,90,Appian CDAPR 7002,9184b-11,-,mazurka24-3/pid9184b-11,45
24.3,A maj,Rubinstein,1939,2:01,121,Naxos 8.110656-57,9049-16,-,mazurka24-3/pid9049-16,46
24.3,A maj,Rubinstein,1952,2:03,123,BMG 09026 63027-2,9075-16,-,mazurka24-3/pid9075-16,46
24.3,A maj,Rubinstein,1966,2:07,127,BMG 09026-63050-2,9059-16,-,mazurka24-3/pid9059-16,46
24.3,A maj,Shebanova,2002,2:13,133,DUX 0350/0351,9072-16,-,mazurka24-3/pid9072-16,47
24.3,A maj,Smith,1975,1:56,116,EMI 724358576726,9054-16,-,mazurka24-3/pid9054-16,48
24.3,A maj,Sztompka,1959,2:17,137,Muza PNOD 313 A/B,9170-16,-,mazurka24-3/pid9170-16,50
24.3,A maj,Uninsky,1971,2:13,133,Philips 442 574-2,9061-16,-,mazurka24-3/pid9061-16,51
24.3,A maj,Vardi,1988,2:00,120,Carriere Classics 21.0017,9173-21,-,mazurka24-3/pid9173-21,52
24.3,A maj,Wasowski,1980,1:29,89,Concord CCD-42036,9111-16,-,mazurka24-3/pid9111-16,53
24.4,B min,Ashkenazy,1981,4:31,271,Decca 448 086-2,9058-17,-,mazurka24-4/pid9058-17,0
24.4,B min,Bacha,1998,4:41,281,Forlane 126817,9166e-10,-,mazurka24-4/pid9166e-10,1
24.4,B min,Barbosa,1983,4:30,270,Centaur CRC2098/9,9174-17,-,mazurka24-4/pid9174-17,2
24.4,B min,Biret,1990,5:33,333,Naxos 8.550359,9062-17,-,mazurka24-4/pid9062-17,3
24.4,B min,Blet,2003,5:45,345,Marcal MA030501,9103-09,-,mazurka24-4/pid9103-09,4
24.4,B min,Block,1995,4:06,246,ProPiano PPR224507 ,9064-10,-,mazurka24-4/pid9064-10,5
24.4,B min,Brailowsky,1960,4:42,282,Sony SB2K 63237,9060-17,-,mazurka24-4/pid9060-17,6
24.4,B min,Chiu,1999,5:06,306,HMX 2907352.53,9048-17,-,mazurka24-4/pid9048-17,7
24.4,B min,Clidat,1994,4:11,251,Forlane UCD16729 ,9067-17,-,mazurka24-4/pid9067-17,8
24.4,B min,Cohen,1997,5:44,344,Glossa 920506 ,9105-17,-,mazurka24-4/pid9105-17,9
24.4,B min,Cortot,1951,5:22,322,Concert Artist 9180/12 ,9066-17,-,mazurka24-4/pid9066-17,10
24.4,B min,Cortot,1957,2:08,128,Sony Classical S3K89698,9107c-09,-,mazurka24-4/pid9107c-09,10
24.4,B min,Csalog,1996,5:24,324,Hungaroton HCD 31755/6,1263-17,-,mazurka24-4/pid1263-17,11
24.4,B min,Czerny-Stefanska,1989,4:22,262,Pony Canyon Classics PCCL-00460,9192-17,-,mazurka24-4/pid9192-17,12
24.4,B min,Ezaki,2006,4:40,280,Triton OVCT-00035,9139-17,-,mazurka24-4/pid9139-17,13
24.4,B min,Falvay,1989,4:43,283,Naxos 8.550256 ,9068-11,-,mazurka24-4/pid9068-11,14
24.4,B min,Ferenczy,1958,5:04,304,Hungaroton HCD 32121,9097-18,-,mazurka24-4/pid9097-18,15
24.4,B min,Fiorentino,1990,5:06,306,Con. Artist 9200-2 ,9065-12,-,mazurka24-4/pid9065-12,16
24.4,B min,Fliere,1977,4:48,288,Melodia 10 00439,9063-17,-,mazurka24-4/pid9063-17,17
24.4,B min,Fou,1978,4:33,273,Sony SB2K 53 246,9071-28,-,mazurka24-4/pid9071-28,18
